sym,time,open,high,low,close,volume
BTCUSD,2018-08-05D00:00:00.000000000,7414.08,7495,6940,7005,9932.777
BTCUSD,2018-08-06D00:00:00.000000000,7005,7086.52,6880,7030.01,6243.221
BTCUSD,2018-08-07D00:00:00.000000000,7030,7163,6840,6938,8955.583
BTCUSD,2018-08-08D00:00:00.000000000,6938,7152,6647.07,6718.22,11163.88
BTCUSD,2018-08-09D00:00:00.000000000,6718.22,6718.22,6121.04,6282.5,22149.45
BTCUSD,2018-08-10D00:00:00.000000000,6282.5,6633.21,6177.51,6546.46,13972.63
BTCUSD,2018-08-11D00:00:00.000000000,6546.46,6584.8,6015,6146.01,8075.531
BTCUSD,2018-08-12D00:00:00.000000000,6146.01,6485.76,6003,6235.56,10151.86
BTCUSD,2018-08-13D00:00:00.000000000,6236,6482,6169.46,6316,8323.396
BTCUSD,2018-08-14D00:00:00.000000000,6316,6544.99,6139.57,6253.67,10603.55
BTCUSD,2018-08-15D00:00:00.000000000,6253.66,6258.32,5900,6195,17742.65
BTCUSD,2018-08-16D00:00:00.000000000,6195.01,6636,6189,6269,17784.25
BTCUSD,2018-08-17D00:00:00.000000000,6269.01,6475.01,6200,6314.65,8975.571
BTCUSD,2018-08-18D00:00:00.000000000,6314.65,6586.5,6290.39,6586.5,10778.33
BTCUSD,2018-08-19D00:00:00.000000000,6586.49,6613.23,6312,6395.17,6974.053
BTCUSD,2018-08-20D00:00:00.000000000,6396.63,6547.34,6328.45,6489.53,4472.159
BTCUSD,2018-08-21D00:00:00.000000000,6489.53,6525,6227.71,6258.74,7902.917
BTCUSD,2018-08-22D00:00:00.000000000,6258.73,6490,6249.12,6475.89,6860.13
BTCUSD,2018-08-23D00:00:00.000000000,6475.89,6890.65,6250,6359.99,15808.23
BTCUSD,2018-08-24D00:00:00.000000000,6360,6568.37,6348.69,6526.36,6997.821
BTCUSD,2018-08-25D00:00:00.000000000,6526.36,6725,6451.55,6690.88,7427.444
