sym,time,open,high,low,close,volume
BTCUSD,2019-09-19D08:00:00.000000000,9809.99,9916.45,9773,9871.32,1439.127
BTCUSD,2019-09-19D12:00:00.000000000,9871.83,9890.2,9815.82,9855.26,713.7223
BTCUSD,2019-09-19D16:00:00.000000000,9855.26,9896,9852.12,9884.59,1213.125
BTCUSD,2019-09-19D20:00:00.000000000,9884.59,10119.64,9880.43,10110.01,2515.137
BTCUSD,2019-09-20D00:00:00.000000000,10110.01,10379.15,10110,10275.01,3118.558
BTCUSD,2019-09-20D04:00:00.000000000,10275.01,10309.84,10179.84,10226.95,1221.655
BTCUSD,2019-09-20D08:00:00.000000000,10226.94,10230.99,10151.54,10156.21,652.3217
BTCUSD,2019-09-20D12:00:00.000000000,10156.21,10197.51,10120.97,10159.63,907.5008
BTCUSD,2019-09-20D16:00:00.000000000,10159.62,10225,10126.96,10172.73,1114.027
BTCUSD,2019-09-20D20:00:00.000000000,10172.73,10178.8,10061,10148.63,1478.484
BTCUSD,2019-09-21D00:00:00.000000000,10148.63,10180,10056.3,10168.85,809.9806
BTCUSD,2019-09-21D04:00:00.000000000,10168.85,10170.15,10116.17,10133.17,370.8087
BTCUSD,2019-09-21D08:00:00.000000000,10133.17,10133.17,9956.6,10072.89,1075.361
BTCUSD,2019-09-21D12:00:00.000000000,10072.87,10074.51,9967.83,10048.9,585.1335
BTCUSD,2019-09-21D16:00:00.000000000,10048.9,10067.73,9917.34,10033.84,1280.187
BTCUSD,2019-09-21D20:00:00.000000000,10033.84,10053.04,9951.95,10011.97,758.9269
BTCUSD,2019-09-22D00:00:00.000000000,10011.98,10019.65,9929.3,9973.99,972.6839
BTCUSD,2019-09-22D04:00:00.000000000,9973.99,9989.47,9850,9870.06,1313.516
BTCUSD,2019-09-22D08:00:00.000000000,9870.06,10054.26,9848.37,10024.83,782.938
BTCUSD,2019-09-22D12:00:00.000000000,10024.83,10097,9978.51,10001.36,415.423
BTCUSD,2019-09-22D16:00:00.000000000,10001.35,10057.49,9920,9988,762.4688
BTCUSD,2019-09-22D20:00:00.000000000,9987.99,10029.07,9948.86,9982.27,927.4281
BTCUSD,2019-09-23D00:00:00.000000000,9982.26,10077.11,9975.95,10026.8,1075.211
BTCUSD,2019-09-23D04:00:00.000000000,10026.79,10051.15,9920.7,9971.36,1011.744
BTCUSD,2019-09-23D08:00:00.000000000,9971.35,9985.02,9856,9891.49,1304.774
BTCUSD,2019-09-23D12:00:00.000000000,9893.14,9963.96,9893.14,9908.83,797.3387
BTCUSD,2019-09-23D16:00:00.000000000,9906.21,9946.9,9665.39,9857.85,3853.115
BTCUSD,2019-09-23D20:00:00.000000000,9857.86,9874.15,9755,9797,1671.329
BTCUSD,2019-09-24D00:00:00.000000000,9796.99,9820,9609.37,9693.74,2717.939
BTCUSD,2019-09-24D04:00:00.000000000,9693.74,9777.16,9600,9707.98,1772.007
BTCUSD,2019-09-24D08:00:00.000000000,9707.97,9776.66,9679.86,9743.94,519.4101
BTCUSD,2019-09-24D12:00:00.000000000,9743.94,9754.75,9672.01,9714.16,992.9394
BTCUSD,2019-09-24D16:00:00.000000000,9714.16,9716.17,9370.39,9500,5630.119
BTCUSD,2019-09-24D20:00:00.000000000,9500,9574.11,8159.35,8539.12,17841.69
BTCUSD,2019-09-25D00:00:00.000000000,8599.97,8995,8378.01,8530.01,10902.69
BTCUSD,2019-09-25D04:00:00.000000000,8530.01,8743.86,8525.16,8588.61,4253.244
BTCUSD,2019-09-25D08:00:00.000000000,8588.61,8610.79,8318.53,8346.02,3266.37
BTCUSD,2019-09-25D12:00:00.000000000,8345.99,8463.48,8222.01,8329.09,2888.74
BTCUSD,2019-09-25D16:00:00.000000000,8330.69,8459.78,8235.01,8299.43,4197.713
BTCUSD,2019-09-25D20:00:00.000000000,8299.43,8418.24,8228,8353.78,4214.718
BTCUSD,2019-09-26D00:00:00.000000000,8353.77,8659.4,8311.51,8438.35,4702.999
BTCUSD,2019-09-26D04:00:00.000000000,8438.35,8447,8320,8362.74,1688.122
BTCUSD,2019-09-26D08:00:00.000000000,8362.74,8432.28,8334.54,8372.69,667.2857
BTCUSD,2019-09-26D12:00:00.000000000,8372.68,8464.08,8359.99,8384.97,1042.094
BTCUSD,2019-09-26D16:00:00.000000000,8384.97,8434.12,7819,7921.07,10400.45
BTCUSD,2019-09-26D20:00:00.000000000,7921.08,8168.55,7712.45,8129.99,10497.01
BTCUSD,2019-09-27D00:00:00.000000000,8129.98,8165.89,8012,8060,3086.743
BTCUSD,2019-09-27D04:00:00.000000000,8060,8092.71,7935.12,8022.24,2547.198
BTCUSD,2019-09-27D08:00:00.000000000,8022.23,8078.54,7952.96,8046.8,1266.399
BTCUSD,2019-09-27D12:00:00.000000000,8046.8,8116.99,7943.07,7984.32,1530.287
BTCUSD,2019-09-27D16:00:00.000000000,7982.3,8108.25,7861.02,7989.93,3363.835
BTCUSD,2019-09-27D20:00:00.000000000,7989.94,8069.99,7950,8000.01,2278.365
BTCUSD,2019-09-28D00:00:00.000000000,8000.01,8290,7984.67,8193.99,4936.114
BTCUSD,2019-09-28D04:00:00.000000000,8193.99,8230.16,8140,8184.18,1047.866
BTCUSD,2019-09-28D08:00:00.000000000,8184.17,8238.64,8154.46,8234.16,742.4267
BTCUSD,2019-09-28D12:00:00.000000000,8232.53,8262.64,8129.7,8147.84,800.7052
BTCUSD,2019-09-28D16:00:00.000000000,8147.83,8150.46,8015.25,8086.83,2187.989
BTCUSD,2019-09-28D20:00:00.000000000,8086.83,8189.14,8061.29,8157.79,1345.871
BTCUSD,2019-09-29D00:00:00.000000000,8159.21,8343,8080,8217.47,2914.786
BTCUSD,2019-09-29D04:00:00.000000000,8217.47,8246.87,8136.83,8144.57,827.7355
BTCUSD,2019-09-29D08:00:00.000000000,8144.22,8158.48,8050.64,8106.32,1021.816
BTCUSD,2019-09-29D12:00:00.000000000,8106.32,8131.68,8050,8092.4,554.3756
BTCUSD,2019-09-29D16:00:00.000000000,8092.4,8094.51,7902.96,7973.23,2252.965
BTCUSD,2019-09-29D20:00:00.000000000,7972.93,8039.88,7933,7956.79,1165.064
BTCUSD,2019-09-30D00:00:00.000000000,7956.79,8139.72,7933,8052.4,1533.784
BTCUSD,2019-09-30D04:00:00.000000000,8054.09,8066.77,7960,7979.35,1059.613
BTCUSD,2019-09-30D08:00:00.000000000,7979.35,7979.35,7701,7800.4,3829.803
BTCUSD,2019-09-30D12:00:00.000000000,7799.86,8100,7780.88,8046.05,2255.825
BTCUSD,2019-09-30D16:00:00.000000000,8046.05,8324.14,7994.12,8300,3696.021
BTCUSD,2019-09-30D20:00:00.000000000,8300,8393.23,8228.01,8283.71,2559.505
BTCUSD,2019-10-01D00:00:00.000000000,8283.72,8313.21,8188,8304.96,1793.316
BTCUSD,2019-10-01D04:00:00.000000000,8304.95,8518.77,8200,8420.67,3587.281
BTCUSD,2019-10-01D08:00:00.000000000,8420.58,8479.98,8371,8430.68,982.2832
BTCUSD,2019-10-01D12:00:00.000000000,8429.2,8438,8312,8380,813.3419
BTCUSD,2019-10-01D16:00:00.000000000,8379.18,8454.37,8302.21,8390.46,1734.72
BTCUSD,2019-10-01D20:00:00.000000000,8390.45,8535,8239.86,8318.41,3613.186
BTCUSD,2019-10-02D00:00:00.000000000,8319.71,8418.68,8290.72,8321.52,1553.778
BTCUSD,2019-10-02D04:00:00.000000000,8321.87,8350,8228.94,8273.71,1129.574
BTCUSD,2019-10-02D08:00:00.000000000,8273.71,8280,8168.85,8220.01,858.7355
BTCUSD,2019-10-02D12:00:00.000000000,8220,8302,8218.4,8284.81,586.1283
BTCUSD,2019-10-02D16:00:00.000000000,8283.56,8310,8205,8249.51,1322.057
BTCUSD,2019-10-02D20:00:00.000000000,8249.51,8288,8187.27,8265.84,1503.575
BTCUSD,2019-10-03D00:00:00.000000000,8265.84,8391,8226.05,8381.72,1644.983
BTCUSD,2019-10-03D04:00:00.000000000,8381.72,8419.95,8332,8345.33,867.5524
BTCUSD,2019-10-03D08:00:00.000000000,8345.33,8389.99,8260,8278.94,798.1435
BTCUSD,2019-10-03D12:00:00.000000000,8278.94,8307.15,8201.4,8230.02,772.3879
BTCUSD,2019-10-03D16:00:00.000000000,8230.52,8259.59,8059.22,8115.01,2278.117
BTCUSD,2019-10-03D20:00:00.000000000,8115.01,8214.89,8085.48,8160.02,1430.736
BTCUSD,2019-10-04D00:00:00.000000000,8160.3,8296,8120.68,8240.41,1755.523
BTCUSD,2019-10-04D04:00:00.000000000,8241.27,8241.35,8053,8111.25,2306.157
BTCUSD,2019-10-04D08:00:00.000000000,8110.18,8140,8002.21,8140,1173.663
BTCUSD,2019-10-04D12:00:00.000000000,8139.99,8180.08,8085.88,8162.14,697.2925
BTCUSD,2019-10-04D16:00:00.000000000,8162.15,8190,8126,8158,861.3126
BTCUSD,2019-10-04D20:00:00.000000000,8158,8221.78,8138,8204.8,1499.44
BTCUSD,2019-10-05D00:00:00.000000000,8204.8,8233,8134.61,8156.67,1219.016
BTCUSD,2019-10-05D04:00:00.000000000,8156.68,8163.63,8110.04,8153.01,572.9108
BTCUSD,2019-10-05D08:00:00.000000000,8153.01,8157,8111,8123.91,279.4538
BTCUSD,2019-10-05D12:00:00.000000000,8123.91,8123.91,8081.76,8096.94,450.9416
BTCUSD,2019-10-05D16:00:00.000000000,8099.73,8106.09,8020.2,8098.63,818.4087
BTCUSD,2019-10-05D20:00:00.000000000,8095.41,8110.78,8048.94,8085.01,866.5033
BTCUSD,2019-10-06D00:00:00.000000000,8085.01,8200,8076.37,8147.63,838.6106
BTCUSD,2019-10-06D04:00:00.000000000,8147.63,8176.18,8030,8061.48,941.4457
BTCUSD,2019-10-06D08:00:00.000000000,8061.49,8094.01,7918.88,7980.36,1168.594
BTCUSD,2019-10-06D12:00:00.000000000,7978.24,7983.49,7887.39,7958.18,903.9559
BTCUSD,2019-10-06D16:00:00.000000000,7958.18,8073.14,7875,8030,1508.136
BTCUSD,2019-10-06D20:00:00.000000000,8030,8045.21,7780.85,7907.14,2650.657
BTCUSD,2019-10-07D00:00:00.000000000,7907.14,7930.1,7801,7859.79,1525.151
BTCUSD,2019-10-07D04:00:00.000000000,7859.79,7916.26,7762.35,7873.54,1746.118
BTCUSD,2019-10-07D08:00:00.000000000,7871.89,7891.38,7804,7870.33,521.2826
BTCUSD,2019-10-07D12:00:00.000000000,7872.6,8060.53,7872.6,7991.77,1151.26
BTCUSD,2019-10-07D16:00:00.000000000,7991.77,8246,7991.12,8195,2736.734
BTCUSD,2019-10-07D20:00:00.000000000,8195,8310.57,8160,8227.22,2519.702
BTCUSD,2019-10-08D00:00:00.000000000,8227.21,8270,8196.57,8209,1337.058
BTCUSD,2019-10-08D04:00:00.000000000,8208.99,8342.97,8208.99,8280.92,1186.611
BTCUSD,2019-10-08D08:00:00.000000000,8280.93,8300,8210.98,8218.95,505.261
BTCUSD,2019-10-08D12:00:00.000000000,8218.95,8219.16,8151.84,8184.39,1014.577
