sym,time,open,high,low,close,volume
BTCUSD,2019-12-11D13:45:00.000000000,7216,7231.66,7215.39,7225,24.71311
BTCUSD,2019-12-11D14:00:00.000000000,7225.01,7240.11,7225.01,7233,35.50932
BTCUSD,2019-12-11D14:15:00.000000000,7233,7249.4,7233,7245.01,85.29421
BTCUSD,2019-12-11D14:30:00.000000000,7245.01,7245.01,7226,7230.54,96.90707
BTCUSD,2019-12-11D14:45:00.000000000,7230.54,7230.54,7226.01,7226.01,50.01445
BTCUSD,2019-12-11D15:00:00.000000000,7226.01,7236.2,7221.02,7229.65,121.1261
BTCUSD,2019-12-11D15:15:00.000000000,7229.65,7229.72,7214.68,7216.44,48.10387
BTCUSD,2019-12-11D15:30:00.000000000,7216.43,7216.44,7139.66,7172.92,507.6487
BTCUSD,2019-12-11D15:45:00.000000000,7172.92,7185.21,7124.45,7146.55,270.2777
BTCUSD,2019-12-11D16:00:00.000000000,7146.54,7169,7142.82,7168.19,190.5054
BTCUSD,2019-12-11D16:15:00.000000000,7168.18,7178,7147.32,7178,158.8373
BTCUSD,2019-12-11D16:30:00.000000000,7178,7185.64,7166.4,7175.64,138.7453
BTCUSD,2019-12-11D16:45:00.000000000,7175.64,7202,7175.63,7197.5,77.90508
BTCUSD,2019-12-11D17:00:00.000000000,7197.5,7208.99,7181.36,7182.64,109.3043
BTCUSD,2019-12-11D17:15:00.000000000,7182.65,7190.79,7177.42,7188.14,107.5412
BTCUSD,2019-12-11D17:30:00.000000000,7188.14,7191.35,7175,7175.8,71.58442
BTCUSD,2019-12-11D17:45:00.000000000,7175.8,7178.1,7173.04,7178.01,31.73235
BTCUSD,2019-12-11D18:00:00.000000000,7178.01,7200,7178,7192.59,64.62377
BTCUSD,2019-12-11D18:15:00.000000000,7192.6,7198.02,7186.91,7197.37,34.41492
BTCUSD,2019-12-11D18:30:00.000000000,7197.37,7199.66,7184.99,7185.08,49.28988
BTCUSD,2019-12-11D18:45:00.000000000,7185.07,7188.26,7178.73,7178.73,57.76172
BTCUSD,2019-12-11D19:00:00.000000000,7178.73,7183.79,7178.73,7181.06,59.28804
BTCUSD,2019-12-11D19:15:00.000000000,7181.06,7195,7176.22,7193.59,96.08969
BTCUSD,2019-12-11D19:30:00.000000000,7193.58,7207.14,7187.65,7188.01,136.6408
BTCUSD,2019-12-11D19:45:00.000000000,7188.01,7196.35,7178.95,7180.65,46.23213
BTCUSD,2019-12-11D20:00:00.000000000,7180.65,7191.97,7180.64,7191.59,52.15315
BTCUSD,2019-12-11D20:15:00.000000000,7191.59,7195.84,7186.16,7192.01,61.64343
BTCUSD,2019-12-11D20:30:00.000000000,7192.01,7192.02,7180,7180.01,43.1606
BTCUSD,2019-12-11D20:45:00.000000000,7180.01,7185.03,7170.42,7173.09,80.88916
BTCUSD,2019-12-11D21:00:00.000000000,7174.43,7174.43,7166.21,7166.33,58.0688
BTCUSD,2019-12-11D21:15:00.000000000,7166.33,7177.23,7166.21,7175.83,38.63126
BTCUSD,2019-12-11D21:30:00.000000000,7175.84,7176.19,7169.37,7174.94,41.74876
