sym,time,open,high,low,close,volume
BTCUSD,2015-01-29D00:00:00.000000000,275.61,278.47,228.5,236.09,6976.141
BTCUSD,2015-02-05D00:00:00.000000000,235.89,244.59,210,227.11,50462.98
BTCUSD,2015-02-12D00:00:00.000000000,0,0,1e+009,0,0
BTCUSD,2015-02-19D00:00:00.000000000,219.96,267.86,218,237.49,90567.3
BTCUSD,2015-02-26D00:00:00.000000000,237.49,248.43,232,238.18,61194.67
BTCUSD,2015-03-05D00:00:00.000000000,238.21,289.5,234.33,273.37,96601.05
BTCUSD,2015-03-12D00:00:00.000000000,273.38,299.48,262.49,296.99,72908.43
BTCUSD,2015-03-19D00:00:00.000000000,296.99,298.9,250,258.5,68711.65
BTCUSD,2015-03-26D00:00:00.000000000,258.62,273.99,234.51,247.07,78923.98
BTCUSD,2015-04-02D00:00:00.000000000,247.07,254.99,237.94,247.87,62336.19
BTCUSD,2015-04-09D00:00:00.000000000,247.5,263,244.29,246.58,48224.37
BTCUSD,2015-04-16D00:00:00.000000000,246.81,248.16,216.92,224.35,60055.8
BTCUSD,2015-04-23D00:00:00.000000000,224.35,238.6,224.35,233.98,49148.7
BTCUSD,2015-04-30D00:00:00.000000000,233.96,236.93,215.56,225.6,53110.42
BTCUSD,2015-05-07D00:00:00.000000000,225.78,243.99,225.1,230,59129.14
BTCUSD,2015-05-14D00:00:00.000000000,230,247.6,228.67,236.32,49780.17
BTCUSD,2015-05-21D00:00:00.000000000,236.93,240,231.53,234.54,48136.3
BTCUSD,2015-05-28D00:00:00.000000000,234.55,242,234.16,237.35,37870.55
BTCUSD,2015-06-04D00:00:00.000000000,237.35,238.48,221.58,225.86,50369.97
BTCUSD,2015-06-11D00:00:00.000000000,225.85,232.06,222.88,228.73,39089.43
BTCUSD,2015-06-18D00:00:00.000000000,228.79,259.46,228.7,250.25,44512.48
BTCUSD,2015-06-25D00:00:00.000000000,250.18,253.29,239.51,240.04,38585.56
BTCUSD,2015-07-02D00:00:00.000000000,0,0,1e+009,0,0
BTCUSD,2015-07-09D00:00:00.000000000,0,0,1e+009,0,0
